id,file,lang,line_start,line_end,symbol,type,timestamp
1,src/codeindex/CodeIndexer.ts,typescript,20,110,,,2025-08-10 23:41:09
2,src/codeindex/SymbolIndexer.ts,typescript,7,14,,,2025-08-10 23:41:09
3,src/codeindex/SymbolIndexer.ts,typescript,16,147,,,2025-08-10 23:41:09
4,src/commands/Journal.ts,typescript,4,28,,,2025-08-10 23:41:10
5,src/commands/ReceiptShow.ts,typescript,4,12,,,2025-08-10 23:41:10
6,src/commands/ReceiptShow.ts,typescript,14,14,,,2025-08-10 23:41:10
7,src/commands/Replay.ts,typescript,28,38,,,2025-08-10 23:41:10
8,src/commands/Replay.ts,typescript,40,52,,,2025-08-10 23:41:10
9,src/commands/Replay.ts,typescript,54,58,,,2025-08-10 23:41:10
10,src/commands/Replay.ts,typescript,60,64,,,2025-08-10 23:41:10
11,src/commands/Replay.ts,typescript,68,214,,,2025-08-10 23:41:10
12,src/database/EnhancedMemoryDatabase.ts,typescript,77,814,,,2025-08-10 23:41:11
13,src/database/MemoryDatabase.ts,typescript,99,1313,,,2025-08-10 23:41:11
14,src/demo/MemoryEngine2Demo.ts,typescript,8,54,,,2025-08-10 23:41:12
15,src/demo/MemoryEngine2Demo.ts,typescript,56,108,,,2025-08-10 23:41:12
16,src/demo/MemoryEngine2Demo.ts,typescript,110,137,,,2025-08-10 23:41:12
17,src/demo/MemoryEngine2Demo.ts,typescript,139,158,,,2025-08-10 23:41:12
18,src/demo/MemoryEngine2Demo.ts,typescript,160,184,,,2025-08-10 23:41:13
19,src/demo/MemoryEngine2Demo.ts,typescript,186,211,,,2025-08-10 23:41:13
20,src/engine/ConnectionPool.ts,typescript,30,310,,,2025-08-10 23:41:13
21,src/engine/HybridSearchEngine.ts,typescript,43,549,,,2025-08-10 23:41:14
22,src/engine/MemoryCache.ts,typescript,39,392,,,2025-08-10 23:41:14
23,src/engine/VectorEmbeddings.ts,typescript,34,444,,,2025-08-10 23:41:15
24,src/utils/PolicyBroker.ts,typescript,13,207,,,2025-08-10 23:41:15
25,src/utils/Trace.ts,typescript,30,113,,,2025-08-10 23:41:15
